i     |               X Real          X Imaginary  |        Error Real   Error Imaginary
0     |  1003.99175400000013     0.00000000000000  |  -0.0000000006954   0.0000000001955
1     |    13.61019367386043    -4.07016462100796  |  -0.0000000005299   0.0000000001998
2     |     5.33777250535241    -2.59618104364063  |  -0.0000000005885   0.0000000001950
3     |   -17.13822275293026    -8.17171154271471  |  -0.0000000004787   0.0000000001997
4     |   -23.74868034325690    11.99462041323217  |  -0.0000000005278   0.0000000001943
5     |    -1.76736872853978    -3.15847765054410  |  -0.0000000004460   0.0000000001986
6     |     1.90905230024971    -3.38810568830653  |  -0.0000000004877   0.0000000001951
7     |   -12.47197201737291   -12.03766507655615  |  -0.0000000004193   0.0000000002000
8     |     2.86971328691978    -4.48296234157261  |  -0.0000000004541   0.0000000001940
9     |    -0.36235045918208    -9.09842971875071  |  -0.0000000003991   0.0000000001986
10    |    -4.80200671613151    -6.86192767409652  |  -0.0000000004285   0.0000000001948
11    |     8.10843353311510     8.98911032264403  |  -0.0000000003805   0.0000000001968
12    |   -10.78875857255682    16.21300485266973  |  -0.0000000004082   0.0000000001947
13    |    14.46391565064354   -17.79379520511042  |  -0.0000000003645   0.0000000001960
14    |    -4.27986077075813     4.62020017023401  |  -0.0000000003917   0.0000000001954
15    |   -15.88946512845523    11.18519984270274  |  -0.0000000003478   0.0000000001973
16    |    -7.05994612375758     8.97382840265613  |  -0.0000000003743   0.0000000001907
17    |     4.25777385943913    -9.57769523167252  |  -0.0000000003393   0.0000000001966
18    |     9.45782616040254     2.62414280679315  |  -0.0000000003593   0.0000000001935
19    |    -8.81782822474891    -4.25831940825478  |  -0.0000000003250   0.0000000001929
20    |   -10.03623256610599     2.40299611730756  |  -0.0000000003519   0.0000000001899
21    |    -9.57156978564678    -0.47177305536979  |  -0.0000000003178   0.0000000001987
22    |     6.09052034169108    11.87346031967463  |  -0.0000000003359   0.0000000001914
23    |    -0.15370832401641    11.44294437578511  |  -0.0000000003077   0.0000000001980
24    |    13.75218118353058     1.00088372280573  |  -0.0000000003212   0.0000000001911
25    |   -18.96929685425530    -5.62857749946245  |  -0.0000000002979   0.0000000001918
26    |    19.32468077854383     8.58070484041164  |  -0.0000000003150   0.0000000001901
27    |    18.46697556930043    -9.54931887672959  |  -0.0000000002882   0.0000000001916
28    |    -0.25049144096692    -3.82466397988800  |  -0.0000000003065   0.0000000001847
29    |    -4.16780859973344   -16.15156431766471  |  -0.0000000002885   0.0000000001890
30    |     3.44893272104302   -16.26273155498779  |  -0.0000000003032   0.0000000001935
31    |     2.45340505567793     1.52310427288247  |  -0.0000000002735   0.0000000001941
32    |    -5.63572439811126     0.83031291460649  |  -0.0000000002907   0.0000000001880
33    |    11.79119919586100    13.33796433595818  |  -0.0000000002677   0.0000000001885
34    |     2.53403104617090     5.50024680659912  |  -0.0000000002898   0.0000000001852
35    |     6.52366828152441    -9.58012165838134  |  -0.0000000002648   0.0000000001934
36    |     8.22758973503677     9.64612741956481  |  -0.0000000002834   0.0000000001867
37    |     1.20133615474526    -7.17288930778921  |  -0.0000000002592   0.0000000001999
38    |    -2.32567361695572    -5.76059680998936  |  -0.0000000002690   0.0000000001876
39    |    11.02027588560002     6.87456516262930  |  -0.0000000002526   0.0000000001977
40    |    13.47106703391881     8.18249309455154  |  -0.0000000002566   0.0000000001884
41    |   -10.69291177738188    -2.16572967449300  |  -0.0000000002429   0.0000000001877
42    |    -3.41216746258433    12.40609003717312  |  -0.0000000002568   0.0000000001803
43    |    -9.68136141021884    12.60372848787294  |  -0.0000000002468   0.0000000001891
44    |     4.64313678260137     1.39094806753819  |  -0.0000000002500   0.0000000001858
45    |    -7.30333929927100    -9.59921819360764  |  -0.0000000002431   0.0000000001827
46    |     9.03351131412902     0.01760798402165  |  -0.0000000002559   0.0000000001933
47    |    -8.95198446324776    -2.47135470309165  |  -0.0000000002287   0.0000000001935
48    |    -1.97843878748679   -10.81542548518460  |  -0.0000000002442   0.0000000001857
49    |    -1.26662052930276    -7.71192377718476  |  -0.0000000002283   0.0000000001915
50    |   -17.26801660386139    -8.84715510157577  |  -0.0000000002400   0.0000000001892
51    |    -6.20278619047109    -5.53732946207139  |  -0.0000000002186   0.0000000001948
52    |     5.74179172534683    -2.78135841990199  |  -0.0000000002273   0.0000000001828
53    |    20.85090045716655    -0.13964305267483  |  -0.0000000002187   0.0000000001826
54    |   -16.16006996778420     4.28862817341068  |  -0.0000000002379   0.0000000001848
55    |   -20.80162198527942   -15.61969137501640  |  -0.0000000002124   0.0000000001977
56    |    -5.88943604659843    -6.62378017556095  |  -0.0000000002242   0.0000000001806
57    |     1.17463909861381     4.72754401305455  |  -0.0000000002108   0.0000000001990
58    |    -5.41284312381509     1.55002100653896  |  -0.0000000002087   0.0000000001743
59    |    11.52129733392317     0.36433401721151  |  -0.0000000002235   0.0000000001844
60    |     2.69080135892624    -4.44503153165897  |  -0.0000000002179   0.0000000001949
61    |    -5.27056522454520    -7.28362513847033  |  -0.0000000002060   0.0000000001972
62    |    -3.77549669926972     0.27509724357804  |  -0.0000000001988   0.0000000001913
63    |    -1.57382519588136     6.89731532756638  |  -0.0000000002023   0.0000000001841
64    |    11.09705888087100     5.84866676286396  |  -0.0000000001978   0.0000000001951
65    |    -3.45577458544264     8.07217329696534  |  -0.0000000001918   0.0000000001750
66    |    -6.87462523885688    -2.04137685961454  |  -0.0000000002068   0.0000000001918
67    |     7.44657432714033    -6.86492291025637  |  -0.0000000001876   0.0000000001824
68    |     1.03322947268740     7.84121210769943  |  -0.0000000002017   0.0000000001955
69    |    -6.49857572075086    -7.00334784480948  |  -0.0000000001688   0.0000000001812
70    |     1.60731761338184     0.12545356844918  |  -0.0000000002022   0.0000000001724
71    |    -7.06856335995063    -8.79529815102136  |  -0.0000000001856   0.0000000001866
72    |    -7.46939351595106     2.28329982963457  |  -0.0000000001933   0.0000000001824
73    |    -3.54038930376934     5.95918825504956  |  -0.0000000001826   0.0000000001777
74    |     6.55667313837076   -17.32524364023326  |  -0.0000000002063   0.0000000001914
75    |    -9.83091871265512    -0.84649456674657  |  -0.0000000001633   0.0000000001987
76    |    -4.66776918625888    -3.70924427173067  |  -0.0000000001854   0.0000000001724
77    |     4.56997760033258     0.54476712994944  |  -0.0000000001756   0.0000000001913
78    |    -6.32765794340298    -4.88125890527247  |  -0.0000000001813   0.0000000001826
79    |    -8.11597609270691    -4.47146500786749  |  -0.0000000001638   0.0000000001904
80    |   -10.30068547906221     5.47269258777960  |  -0.0000000001716   0.0000000001719
81    |    11.09913300706370    -6.26153059544008  |  -0.0000000001704   0.0000000001755
82    |    -6.37643007134967     6.06616517414853  |  -0.0000000001861   0.0000000001765
83    |   -11.76009054509227     1.68426861229597  |  -0.0000000001672   0.0000000001874
84    |     6.43944148377820     7.58851560985233  |  -0.0000000001820   0.0000000001752
85    |    -5.81874051900101     1.04954490740198  |  -0.0000000001688   0.0000000001963
86    |    -6.79987664912623    -0.53458360096426  |  -0.0000000001674   0.0000000001781
87    |   -20.52948568146255   -19.28017764440569  |  -0.0000000001706   0.0000000001894
88    |    10.63718218206347     2.04426099079665  |  -0.0000000001641   0.0000000001892
89    |    11.27969027969264    -2.45869513565700  |  -0.0000000001601   0.0000000001839
90    |   -11.64441293239143     4.42543206009711  |  -0.0000000001689   0.0000000001955
91    |     0.98103594445951     1.99355295441682  |  -0.0000000001370   0.0000000001917
92    |     8.55062208548406     8.29688443730738  |  -0.0000000001605   0.0000000001738
93    |    -0.11992749176958    -4.15081484454487  |  -0.0000000001421   0.0000000001926
94    |    -1.32249431521630    -8.07002207642961  |  -0.0000000001483   0.0000000001624
95    |   -19.40060468962264   -14.06613365000758  |  -0.0000000001636   0.0000000001760
96    |    11.50784927658631   -12.19535723662463  |  -0.0000000001667   0.0000000001884
97    |     8.62945564768657    -0.49158015308365  |  -0.0000000001423   0.0000000001979
98    |    -7.22038473072529     4.61553984315635  |  -0.0000000001473   0.0000000001832
99    |    13.66244593774436     7.33039262107529  |  -0.0000000001296   0.0000000001917
100   |     1.72699022901966     2.84166298925795  |  -0.0000000001433   0.0000000001651
101   |    -1.16630283391898    -0.29505895379812  |  -0.0000000001400   0.0000000001929
102   |    -2.03568793596500    10.25201512148245  |  -0.0000000001331   0.0000000001670
103   |    -0.20995800594139    -2.05538702509774  |  -0.0000000001381   0.0000000001899
104   |    -4.04110033812367    16.65599480708775  |  -0.0000000001165   0.0000000001555
105   |     5.97180951250962     7.82154715516956  |  -0.0000000001617   0.0000000001638
106   |    -0.72378019613569    -2.22506923383082  |  -0.0000000001340   0.0000000001824
107   |    10.16614140148354    -7.26460566113992  |  -0.0000000001478   0.0000000001677
108   |    -1.90543857596150   -10.65974820129701  |  -0.0000000001348   0.0000000001881
109   |    -5.67023558560461     0.74186866026607  |  -0.0000000001369   0.0000000001675
110   |    -0.76554682926980    -8.86719571117061  |  -0.0000000001327   0.0000000001919
111   |     3.05505715942391    -4.19398642276726  |  -0.0000000001170   0.0000000001586
112   |   -10.49506564837155     7.22055022053063  |  -0.0000000001470   0.0000000001716
113   |     3.63118681804245     1.25367991186605  |  -0.0000000001276   0.0000000001688
114   |     1.48543818025618    -5.71617870989220  |  -0.0000000001521   0.0000000001798
115   |     3.84182403629507     2.75334523484294  |  -0.0000000001122   0.0000000001923
116   |     6.56002785691481    12.29799133213443  |  -0.0000000001189   0.0000000001575
117   |     1.32940489902548    -9.40276785934119  |  -0.0000000001336   0.0000000001592
118   |     8.82554612683821    -4.06320604119620  |  -0.0000000001525   0.0000000001721
119   |     2.56630551461125     1.32314145707255  |  -0.0000000001300   0.0000000001987
120   |    -2.52798635099210     2.95253172941555  |  -0.0000000001129   0.0000000001785
121   |    15.78009918739306     0.17415182496768  |  -0.0000000001223   0.0000000001749
122   |    -5.81571867022377    -6.22564352361942  |  -0.0000000001109   0.0000000001820
123   |    -5.02831641151599    17.44745405660971  |  -0.0000000001046   0.0000000001525
124   |   -16.62802555096198    -0.49561967067270  |  -0.0000000001433   0.0000000001589
125   |    -2.68193311178537    -6.30169270455803  |  -0.0000000001223   0.0000000001903
126   |     7.53882244522339    12.43490315197455  |  -0.0000000001017   0.0000000001640
127   |     3.71613926081037    12.29155606306445  |  -0.0000000001313   0.0000000001519
128   |     0.32570179737462     8.60067976237818  |  -0.0000000001255   0.0000000001818
129   |     4.97653917808484     4.17939382042832  |  -0.0000000001194   0.0000000001503
130   |   -12.30891965826540     7.23430789836519  |  -0.0000000001542   0.0000000001858
131   |    -7.74926556833677    -0.14395360947110  |  -0.0000000001086   0.0000000001970
132   |     3.74410174430164    -4.84738428212602  |  -0.0000000001040   0.0000000001866
133   |    -6.72930760619908    -7.55751697454643  |  -0.0000000000938   0.0000000001515
134   |    -3.49311188817865    -7.75947311915155  |  -0.0000000001461   0.0000000001782
135   |   -15.55849693631799    18.66006514568828  |  -0.0000000000802   0.0000000001914
136   |    -6.73490510277770    -2.22766395549039  |  -0.0000000001125   0.0000000001520
137   |    -6.45267547526008     0.27730622991664  |  -0.0000000000950   0.0000000001643
138   |   -15.37813617411749    13.62068467431328  |  -0.0000000001423   0.0000000001440
139   |   -21.11882717014609    15.20095952399418  |  -0.0000000001186   0.0000000001997
140   |    -1.24251369405443     5.37984142704867  |  -0.0000000001161   0.0000000001716
141   |    -8.86308860439357    -5.13391795946472  |  -0.0000000000903   0.0000000001972
142   |    -0.61445827053344   -29.04518995636318  |  -0.0000000001057   0.0000000001410
143   |     1.04708454868065   -10.72876552239424  |  -0.0000000001178   0.0000000002005
144   |    -5.03227627850744   -16.62929812849173  |  -0.0000000000828   0.0000000001518
145   |    -9.26831158986731   -13.97225510409119  |  -0.0000000001334   0.0000000001807
146   |     1.52098096349217    -3.96799530733234  |  -0.0000000000805   0.0000000001849
147   |    10.90494877177015    -6.76632260743454  |  -0.0000000001062   0.0000000001642
148   |    -8.50934054337267    13.29113017005578  |  -0.0000000000892   0.0000000001815
149   |    -6.96508943935506    12.65936283404831  |  -0.0000000000884   0.0000000001585
150   |   -23.43904797455970    -3.27256253851282  |  -0.0000000000987   0.0000000001560
151   |   -11.61399348203031    13.63811373283747  |  -0.0000000001138   0.0000000001630
152   |     3.82039144727353    -1.74791092521273  |  -0.0000000000930   0.0000000001805
153   |    -0.52974908343050     3.14885912188223  |  -0.0000000000905   0.0000000001412
154   |     2.32315876234498     2.61112140678918  |  -0.0000000001382   0.0000000001581
155   |    12.71239243824870   -18.60229940034687  |  -0.0000000001162   0.0000000001989
156   |     9.18505891001319    17.78217037613491  |  -0.0000000000930   0.0000000001842
157   |    -8.24895260064601    11.44141695382517  |  -0.0000000001032   0.0000000001834
158   |     0.71213614046844     0.90306142432130  |  -0.0000000000849   0.0000000001958
159   |    -1.83610291188929     9.44502341838003  |  -0.0000000000767   0.0000000001699
160   |    -8.82650978085527    -3.23235112254830  |  -0.0000000000962   0.0000000001791
161   |    13.04897158758545     4.98637531367577  |  -0.0000000000716   0.0000000001871
162   |    -3.92899639732377     8.55921914633535  |  -0.0000000000717   0.0000000001599
163   |     8.09679142062543    11.29531068341139  |  -0.0000000000943   0.0000000001711
164   |    13.74449186392907     7.80537233386025  |  -0.0000000000620   0.0000000001863
165   |   -18.59514022102161     6.67152229810419  |  -0.0000000000619   0.0000000001411
166   |     2.33918584748289     1.20802522716803  |  -0.0000000000854   0.0000000001541
167   |    -8.66846022882653     0.68086392885932  |  -0.0000000000836   0.0000000001356
168   |   -13.79127512479352     4.23008411295566  |  -0.0000000001153   0.0000000001568
169   |     8.73838158833682    -5.09847255891125  |  -0.0000000001032   0.0000000001602
170   |    21.61787907929886   -12.60783016458581  |  -0.0000000001239   0.0000000001957
171   |    17.62336866322381    -6.94251557451182  |  -0.0000000000558   0.0000000001977
172   |    -9.45809140574504    -5.29885628864604  |  -0.0000000000918   0.0000000001503
173   |   -19.62465498358511    -8.58556822709524  |  -0.0000000000980   0.0000000002009
174   |    -0.41329654004533     0.43164812516455  |  -0.0000000000595   0.0000000001925
175   |    -1.94100957188946     0.47625907063418  |  -0.0000000000611   0.0000000001687
176   |    -6.28796666303441    -5.92130901148513  |  -0.0000000000764   0.0000000001715
177   |    -9.31841898988493    -0.92642852497993  |  -0.0000000000697   0.0000000001826
178   |    -6.83742623313295   -13.30877281879481  |  -0.0000000000529   0.0000000001895
179   |     1.13977017757364    -1.81169867435728  |  -0.0000000000259   0.0000000001572
180   |     8.97842457839429   -15.53503711579443  |  -0.0000000000618   0.0000000001261
181   |    -0.98107311167303    10.75072759653156  |  -0.0000000000895   0.0000000001445
